id,start,end,label,category,region,certainty,uncertainty,source,link
mesopotamian-silver-standard,3000 BC,1600 BC,Silver shekel as unit of account in Mesopotamia,economy,MIDDLE_EAST,approx,150,Cuneiform economic tablets,
code-of-hammurabi-prices,1754 BC,,Code of Hammurabi fixes prices and interest,economy,MIDDLE_EAST,contested,60,Stele of Hammurabi,
bronze-age-trade-collapse,1200 BC,1150 BC,Eastern Mediterranean trade network collapses,economy,MIDDLE_EAST,approx,30,Archaeological record,
lydian-coinage,610 BC,560 BC,First struck coinage in Lydia,economy,MIDDLE_EAST,approx,20,Numismatic evidence,
athenian-owl-tetradrachm,510 BC,86 BC,Athenian silver drachma as reserve currency,economy,EUROPE,approx,20,Numismatic evidence,
laurion-silver-mines,483 BC,,Laurion silver strike funds the Athenian fleet,economy,EUROPE,year,,Herodotus,
solon-debt-cancellation,594 BC,,Solon's seisachtheia cancels Athenian debts,economy,EUROPE,approx,5,Aristotle; Plutarch,
roman-denarius,211 BC,,Introduction of the Roman denarius,economy,EUROPE,approx,3,Numismatic evidence,
silk-road-opens,130 BC,,Han embassies open the Silk Road,economy,ASIA_EAST,approx,10,Shiji,
roman-debasement,64,270,Progressive debasement of the denarius,economy,EUROPE,year,,Numismatic metallurgy,
crisis-of-the-third-century-inflation,235,284,Hyperinflation of the third-century crisis,economy,EUROPE,year,,Papyri; numismatic record,
diocletian-price-edict,301,,Diocletian's Edict on Maximum Prices,economy,EUROPE,year,,Edictum de pretiis,
solidus-introduced,312,,Constantine introduces the gold solidus,economy,EUROPE,year,,Numismatic evidence,
tang-equal-field-system,624,780,Tang equal-field land system,economy,ASIA_EAST,year,,Tang legal codes,
islamic-dinar,696,,Umayyad currency reform creates the gold dinar,economy,MIDDLE_EAST,year,,Numismatic evidence,
song-paper-money,1024,,First state-issued paper money in Song China,economy,ASIA_EAST,year,,Song dynastic records,
champagne-fairs,1150,1300,Champagne fairs link Mediterranean and northern trade,economy,EUROPE,approx,20,Merchant records,
mali-gold-trade,1235,1450,Mali controls the trans-Saharan gold trade,economy,AFRICA,approx,25,Arabic geographies,
mansa-musa-hajj,1324,1325,Mansa Musa's hajj depresses Mediterranean gold prices,economy,AFRICA,year,,Al-Umari,
florentine-banking-collapse,1341,1346,Bardi and Peruzzi banking houses fail,economy,EUROPE,year,,Florentine chronicles,
bullion-famine,1400,1470,Great Bullion Famine in Europe,economy,EUROPE,approx,15,Mint output records,
medici-bank,1397,1494,The Medici Bank,economy,EUROPE,year,,Medici archives,
double-entry-bookkeeping,1494,,Pacioli codifies double-entry bookkeeping,economy,EUROPE,year,,Summa de arithmetica,
portuguese-spice-route,1498,,Sea route to India breaks the Venetian spice monopoly,economy,EUROPE,year,,Portuguese state records,
potosi-silver,1545,1810,Potosí silver floods world markets,economy,AMERICAS,year,,Spanish colonial mint records,
price-revolution,1520,1640,European Price Revolution,economy,EUROPE,approx,15,Wage and price series,
manila-galleon,1565,1815,Manila galleon links American silver to China,economy,ASIA_EAST,year,,Spanish colonial records,
dutch-east-india-company,1602,1799,Dutch East India Company,economy,EUROPE,year,,VOC archives,
amsterdam-exchange-bank,1609,1820,Bank of Amsterdam,economy,EUROPE,year,,Bank archives,
tulip-mania,1636,1637,Tulip mania,economy,EUROPE,year,,Dutch pamphlets and contracts,
kipper-und-wipper,1618,1623,Kipper und Wipper debasement crisis,economy,EUROPE,year,,German mint records,
ming-silver-crisis,1639,1644,Collapse of silver imports destabilises Ming finance,economy,ASIA_EAST,year,,Ming dynastic records,
bank-of-england,1694,,Bank of England founded,economy,EUROPE,year,,Bank of England archives,
mississippi-bubble,1719,1720,Mississippi Company bubble,economy,EUROPE,year,,French state records,
south-sea-bubble,1720,1720,South Sea Bubble,economy,EUROPE,year,,British parliamentary records,
crisis-of-1772,1772,1773,Credit crisis of 1772,economy,EUROPE,year,,Bank of England records,
wealth-of-nations,1776,,Adam Smith publishes The Wealth of Nations,economy,EUROPE,year,,Primary text,
assignat-inflation,1790,1796,Assignat hyperinflation in revolutionary France,economy,EUROPE,year,,French state records,
industrial-revolution,1760,1840,Industrial Revolution,economy,EUROPE,approx,15,Economic history,
panic-of-1819,1819,1821,Panic of 1819,economy,AMERICAS,year,,US Treasury records,
latin-american-debt-1825,1825,1826,First Latin American sovereign default wave,economy,AMERICAS,year,,London bond market records,
panic-of-1837,1837,1843,Panic of 1837,economy,AMERICAS,year,,US Treasury records,
repeal-of-corn-laws,1846,,Repeal of the Corn Laws,economy,EUROPE,year,,British parliamentary records,
california-gold-rush,1848,1855,California gold rush,economy,AMERICAS,year,,US Mint records,
panic-of-1857,1857,1858,Panic of 1857,economy,AMERICAS,year,,US Treasury records,
classical-gold-standard,1871,1914,Classical gold standard,economy,GLOBAL,year,,Central bank records,
long-depression,1873,1896,Long Depression,economy,GLOBAL,year,,Price and output series,
panic-of-1893,1893,1897,Panic of 1893,economy,AMERICAS,year,,US Treasury records,
panic-of-1907,1907,1908,Panic of 1907,economy,AMERICAS,year,,US Treasury records,
federal-reserve-founded,1913,,US Federal Reserve System created,economy,AMERICAS,year,,Federal Reserve Act,
weimar-hyperinflation,1921,1923,Weimar hyperinflation,economy,EUROPE,year,,Reichsbank records,
wall-street-crash,1929-10-24,1929-10-29,Wall Street Crash,economy,AMERICAS,exact,,NYSE records,
great-depression,1929,1939,Great Depression,economy,GLOBAL,year,,National accounts,
britain-leaves-gold,1931-09-21,,Britain abandons the gold standard,economy,EUROPE,exact,,Bank of England records,
smoot-hawley,1930-06-17,,Smoot–Hawley tariff,economy,AMERICAS,exact,,US Congress,
new-deal,1933,1939,New Deal,economy,AMERICAS,year,,US federal records,
bretton-woods,1944-07,1971-08,Bretton Woods system,economy,GLOBAL,year,,IMF archives,
marshall-plan,1948,1952,Marshall Plan,economy,EUROPE,year,,US State Department records,
japanese-economic-miracle,1955,1973,Japanese economic miracle,economy,ASIA_EAST,year,,Bank of Japan statistics,
post-war-boom,1945,1973,Post-war boom,economy,GLOBAL,year,,National accounts,
nixon-shock,1971-08-15,,Nixon closes the gold window,economy,AMERICAS,exact,,US presidential address,
oil-crisis-1973,1973-10,1974-03,OPEC oil embargo,economy,GLOBAL,year,,OPEC and IEA records,
stagflation,1973,1982,Stagflation,economy,GLOBAL,year,,National accounts,
oil-crisis-1979,1979,1980,Second oil shock,economy,GLOBAL,year,,IEA records,
volcker-shock,1979-10,1982-10,Volcker disinflation,economy,AMERICAS,year,,Federal Reserve records,
latin-american-debt-crisis,1982,1989,Latin American debt crisis,economy,AMERICAS,year,,IMF records,
deng-reforms,1978,1992,Chinese economic reform and opening,economy,ASIA_EAST,year,,Chinese state records,
japanese-asset-bubble,1986,1991,Japanese asset price bubble,economy,ASIA_EAST,year,,Bank of Japan statistics,
black-monday-1987,1987-10-19,,Black Monday,economy,GLOBAL,exact,,Exchange records,
soviet-economic-collapse,1990,1998,Post-Soviet economic collapse,economy,EUROPE,year,,World Bank statistics,
erm-crisis,1992-09-16,,Sterling forced out of the ERM,economy,EUROPE,exact,,Bank of England records,
asian-financial-crisis,1997-07,1998-12,Asian financial crisis,economy,ASIA_EAST,year,,IMF records,
