id,start,end,label,category,region,certainty,uncertainty,source,link
gvp-10026,2500 BC,,Campi Flegrei eruption (VEI 4),nature,EUROPE,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=211010
gvp-10033,2150 BC,,Campi Flegrei eruption (VEI 5),nature,EUROPE,approx,500,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=211010
gvp-10036,2000 BC,,Campi Flegrei eruption (VEI 4),nature,EUROPE,approx,150,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=211010
gvp-10037,1870 BC,,Campi Flegrei eruption (VEI 4),nature,EUROPE,approx,50,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=211010
gvp-10038,1650 BC,,Campi Flegrei eruption (VEI 4),nature,EUROPE,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=211010
gvp-10043,2420 BC,,Vesuvius eruption (VEI 5),nature,EUROPE,approx,40,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=211020
gvp-10045,1550 BC,,Vesuvius eruption (VEI 4),nature,EUROPE,approx,75,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=211020
gvp-10046,1430 BC,,Vesuvius eruption (VEI 4),nature,EUROPE,approx,300,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=211020
gvp-10047,880 BC,,Vesuvius eruption (VEI 4),nature,EUROPE,approx,50,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=211020
gvp-10052,203,,Vesuvius eruption (VEI 4),nature,EUROPE,approx,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=211020
gvp-10060,1790-11,,Kilauea eruption (VEI 4),nature,AMERICAS,year,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=332010
gvp-10380,930,,Ceboruco eruption (VEI 6),nature,AMERICAS,approx,200,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=341030
gvp-10399,2370 BC,,Colima eruption (VEI 4),nature,AMERICAS,approx,150,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=341040
gvp-10414,1585-01-10,,Colima eruption (VEI 4),nature,AMERICAS,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=341040
gvp-10417,1606-11-25,1606-12-13,Colima eruption (VEI 4),nature,AMERICAS,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=341040
gvp-10419,1622-06-08,1622-06-09,Colima eruption (VEI 4),nature,AMERICAS,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=341040
gvp-10436,1818-02-15,1818-02-16,Colima eruption (VEI 4),nature,AMERICAS,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=341040
gvp-10452,1889-08-09,1890-02-16,Colima eruption (VEI 4),nature,AMERICAS,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=341040
gvp-10459,1913-01-17,1913-01-24,Colima eruption (VEI 4),nature,AMERICAS,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=341040
gvp-10485,1759-09-29,1774,Michoacan-Guanajuato eruption (VEI 4),nature,AMERICAS,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=341060
gvp-10486,1943-02-20,1952-02-25,Michoacan-Guanajuato eruption (VEI 4),nature,AMERICAS,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=341060
gvp-10512,200 BC,,Popocatepetl eruption (VEI 5),nature,AMERICAS,approx,300,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=341090
gvp-10514,823-03-01,,Popocatepetl eruption (VEI 4),nature,AMERICAS,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=341090
gvp-10564,2300 BC,,"Orizaba, Pico de eruption (VEI 4)",nature,AMERICAS,approx,75,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=341100
gvp-10593,1793-03-02,1793-12,San Martin eruption (VEI 4),nature,AMERICAS,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=341110
gvp-10599,2030 BC,,"Chichon, El eruption (VEI 5)",nature,AMERICAS,approx,100,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=341120
gvp-10606,780,,"Chichon, El eruption (VEI 5)",nature,AMERICAS,approx,100,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=341120
gvp-10607,1190,,"Chichon, El eruption (VEI 4)",nature,AMERICAS,approx,150,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=341120
gvp-10608,1360,,"Chichon, El eruption (VEI 5)",nature,AMERICAS,approx,100,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=341120
gvp-10610,1982-03-28,1982-09-11,"Chichon, El eruption (VEI 5)",nature,AMERICAS,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=341120
gvp-10616,70,,Tacana eruption (VEI 4),nature,AMERICAS,approx,100,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=341130
gvp-10624,1902-10-24,1902-11-12,Santa Maria eruption (VEI 6),nature,AMERICAS,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=342030
gvp-10673,1581-12-05,1582-01-15,Fuego eruption (VEI 4),nature,AMERICAS,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=342090
gvp-10692,1717-08-27,1717-12-26,Fuego eruption (VEI 4),nature,AMERICAS,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=342090
gvp-10695,1737-08-27,1737-09-24,Fuego eruption (VEI 4),nature,AMERICAS,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=342090
gvp-10707,1857-01-15,1857-02-17,Fuego eruption (VEI 4),nature,AMERICAS,exact,,"Global Volcanism Program, Volcanoes of the World, Smithsonian Institution",https://volcano.si.edu/volcano.cfm?vn=342090
