id,start,end,label,category,region,certainty,uncertainty,source,link
early-dynastic-egypt,3100 BC,2686 BC,Unification of Upper and Lower Egypt,politics,AFRICA,approx,100,Egyptian king lists,
sumerian-city-states,2900 BC,2334 BC,Sumerian city-state period,politics,MIDDLE_EAST,approx,100,Cuneiform records,
akkadian-empire,2334 BC,2154 BC,Akkadian Empire,politics,MIDDLE_EAST,approx,50,Cuneiform records,
old-kingdom-egypt,2686 BC,2181 BC,Old Kingdom of Egypt,politics,AFRICA,approx,60,Egyptian king lists,
first-intermediate-period,2181 BC,2055 BC,First Intermediate Period collapse,politics,AFRICA,approx,50,Egyptian records,
indus-valley-decline,1900 BC,1300 BC,Decline of the Indus Valley cities,politics,ASIA_SOUTH,approx,80,Archaeological record,
babylonian-empire,1894 BC,1595 BC,Old Babylonian Empire,politics,MIDDLE_EAST,approx,60,Cuneiform records,
new-kingdom-egypt,1550 BC,1069 BC,New Kingdom of Egypt,politics,AFRICA,approx,40,Egyptian king lists,
hittite-empire,1600 BC,1178 BC,Hittite Empire,politics,MIDDLE_EAST,approx,50,Hittite archives,
shang-dynasty,1600 BC,1046 BC,Shang dynasty,politics,ASIA_EAST,approx,60,Oracle bones,
bronze-age-collapse,1200 BC,1150 BC,Late Bronze Age collapse,politics,MIDDLE_EAST,approx,30,Archaeological record,
zhou-dynasty,1046 BC,256 BC,Zhou dynasty,politics,ASIA_EAST,approx,25,Chinese annals,
neo-assyrian-empire,911 BC,609 BC,Neo-Assyrian Empire,politics,MIDDLE_EAST,approx,15,Assyrian annals,
greek-colonisation,750 BC,550 BC,Greek colonisation of the Mediterranean,politics,EUROPE,approx,30,Archaeological record,
roman-republic-founded,509 BC,,Foundation of the Roman Republic,politics,EUROPE,contested,15,Livy,
achaemenid-empire,550 BC,330 BC,Achaemenid Persian Empire,politics,MIDDLE_EAST,approx,10,Persian and Greek sources,
greco-persian-wars,499 BC,449 BC,Greco-Persian Wars,politics,EUROPE,approx,5,Herodotus,
peloponnesian-war,431 BC,404 BC,Peloponnesian War,politics,EUROPE,year,,Thucydides,
warring-states-period,475 BC,221 BC,Warring States period,politics,ASIA_EAST,approx,15,Chinese annals,
alexander-conquests,336 BC,323 BC,Conquests of Alexander,politics,MIDDLE_EAST,year,,Arrian; Plutarch,
maurya-empire,322 BC,185 BC,Maurya Empire,politics,ASIA_SOUTH,approx,10,Ashokan edicts,
qin-unification,221 BC,206 BC,Qin unification of China,politics,ASIA_EAST,year,,Shiji,
punic-wars,264 BC,146 BC,Punic Wars,politics,EUROPE,year,,Polybius; Livy,
han-dynasty,202 BC,220,Han dynasty,politics,ASIA_EAST,year,,Chinese annals,
caesar-assassinated,44 BC,,Assassination of Julius Caesar,politics,EUROPE,exact,,Suetonius; Plutarch,
roman-principate,27 BC,284,Roman Principate,politics,EUROPE,year,,Roman sources,
pax-romana,27 BC,180,Pax Romana,politics,EUROPE,approx,5,Roman sources,
crisis-of-the-third-century,235,284,Crisis of the Third Century,politics,EUROPE,year,,Roman sources,
diocletian-tetrarchy,293,313,Diocletian's Tetrarchy,politics,EUROPE,year,,Roman sources,
constantinople-founded,330-05-11,,Constantinople founded,politics,MIDDLE_EAST,exact,,Roman sources,
