id,start,end,label,category,region,certainty,uncertainty,source,link
homer-800bc,800 BC,701 BC,Homer,thought,EUROPE,approx,,"English Wikipedia, via rengel-de/5603464",
hesiod-750bc,750 BC,650 BC,Hesiod,thought,EUROPE,approx,,"English Wikipedia, via rengel-de/5603464",
thales-624bc,624 BC,546 BC,Thales,thought,MIDDLE_EAST,approx,,"English Wikipedia, via rengel-de/5603464",
anaximander-610bc,610 BC,546 BC,Anaximander,thought,MIDDLE_EAST,approx,,"English Wikipedia, via rengel-de/5603464",
anaximenes-585bc,585 BC,525 BC,Anaximenes,thought,MIDDLE_EAST,approx,,"English Wikipedia, via rengel-de/5603464",
pythagoras-582bc,582 BC,496 BC,Pythagoras,thought,EUROPE,approx,,"English Wikipedia, via rengel-de/5603464",
philolaus-470bc,470 BC,380 BC,Philolaus,thought,EUROPE,approx,,"English Wikipedia, via rengel-de/5603464",
archytas-428bc,428 BC,347 BC,Archytas,thought,EUROPE,approx,,"English Wikipedia, via rengel-de/5603464",
xenophanes-570bc,570 BC,470 BC,Xenophanes,thought,MIDDLE_EAST,approx,,"English Wikipedia, via rengel-de/5603464",
parmenides-510bc,510 BC,440 BC,Parmenides,thought,EUROPE,approx,,"English Wikipedia, via rengel-de/5603464",
heraclitus-535bc,535 BC,475 BC,Heraclitus,thought,MIDDLE_EAST,approx,,"English Wikipedia, via rengel-de/5603464",
empedocles-490bc,490 BC,430 BC,Empedocles,thought,EUROPE,approx,,"English Wikipedia, via rengel-de/5603464",
anaxagoras-500bc,500 BC,428 BC,Anaxagoras,thought,MIDDLE_EAST,approx,,"English Wikipedia, via rengel-de/5603464",
leucippus-480bc,480 BC,420 BC,Leucippus,thought,MIDDLE_EAST,approx,,"English Wikipedia, via rengel-de/5603464",
democritus-460bc,460 BC,370 BC,Democritus,thought,EUROPE,approx,,"English Wikipedia, via rengel-de/5603464",
protagoras-490bc,490 BC,420 BC,Protagoras,thought,EUROPE,approx,,"English Wikipedia, via rengel-de/5603464",
gorgias-487bc,487 BC,376 BC,Gorgias,thought,EUROPE,approx,,"English Wikipedia, via rengel-de/5603464",
theophrastus-371bc,371 BC,287 BC,Theophrastus,thought,EUROPE,approx,,"English Wikipedia, via rengel-de/5603464",
socrates-469bc,469 BC,399 BC,Socrates,thought,EUROPE,approx,,"English Wikipedia, via rengel-de/5603464",
euclid-of-megara-450bc,450 BC,380 BC,Euclid of Megara,thought,EUROPE,approx,,"English Wikipedia, via rengel-de/5603464",
antisthenes-445bc,445 BC,360 BC,Antisthenes,thought,EUROPE,approx,,"English Wikipedia, via rengel-de/5603464",
aristippus-435bc,435 BC,356 BC,Aristippus,thought,AFRICA,approx,,"English Wikipedia, via rengel-de/5603464",
plato-428bc,428 BC,347 BC,Plato,thought,EUROPE,approx,,"English Wikipedia, via rengel-de/5603464",
diogenes-of-sinope-405bc,405 BC,320 BC,Diogenes of Sinope,thought,MIDDLE_EAST,approx,,"English Wikipedia, via rengel-de/5603464",
xenocrates-396bc,396 BC,314 BC,Xenocrates,thought,MIDDLE_EAST,approx,,"English Wikipedia, via rengel-de/5603464",
aristotle-384bc,384 BC,322 BC,Aristotle,thought,EUROPE,approx,,"English Wikipedia, via rengel-de/5603464",
epicurus-341bc,341 BC,270 BC,Epicurus,thought,EUROPE,approx,,"English Wikipedia, via rengel-de/5603464",
archimedes-287bc,287 BC,212 BC,Archimedes,thought,EUROPE,approx,,"English Wikipedia, via rengel-de/5603464",
chrysippus-280bc,280 BC,207 BC,Chrysippus,thought,MIDDLE_EAST,approx,,"English Wikipedia, via rengel-de/5603464",
stilpo-360bc,360 BC,280 BC,Stilpo,thought,EUROPE,approx,,"English Wikipedia, via rengel-de/5603464",
zeno-of-citium-334bc,334 BC,262 BC,Zeno of Citium,thought,MIDDLE_EAST,approx,,"English Wikipedia, via rengel-de/5603464",
clitomachus-187bc,187 BC,109 BC,Clitomachus,thought,AFRICA,approx,,"English Wikipedia, via rengel-de/5603464",
cicero-106bc,106 BC,43 BC,Cicero,thought,EUROPE,approx,,"English Wikipedia, via rengel-de/5603464",
lucretius-94bc,94 BC,55 BC,Lucretius,thought,EUROPE,approx,,"English Wikipedia, via rengel-de/5603464",
seneca-4bc,4 BC,65,Seneca,thought,EUROPE,approx,,"English Wikipedia, via rengel-de/5603464",
musonius-rufus-30,30,100,Musonius Rufus,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
plutarch-45,45,120,Plutarch,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
epictetus-55,55,135,Epictetus,thought,MIDDLE_EAST,year,,"English Wikipedia, via rengel-de/5603464",
marcus-aurelius-121,121,180,Marcus Aurelius,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
sextus-empiricus-160,160,210,Sextus Empiricus,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
plotinus-205,205,270,Plotinus,thought,AFRICA,year,,"English Wikipedia, via rengel-de/5603464",
porphyry-232,232,304,Porphyry,thought,MIDDLE_EAST,year,,"English Wikipedia, via rengel-de/5603464",
hilarius-of-poitiers-315,315,367,Hilarius of Poitiers,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
themistius-317,317,388,Themistius,thought,MIDDLE_EAST,year,,"English Wikipedia, via rengel-de/5603464",
proclus-411,411,485,Proclus,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
damascius-462,462,540,Damascius,thought,MIDDLE_EAST,year,,"English Wikipedia, via rengel-de/5603464",
boethius-472,472,524,Boethius,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
maimonides-1135,1135,1204,Maimonides,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
bonaventura-1221,1221,1274,Bonaventura,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
thomas-of-aquin-1225,1225,1274,Thomas of Aquin,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
rymundus-lullus-1235,1235,1315,Rymundus Lullus,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
albertus-magnus-1193,1193,1280,Albertus Magnus,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
dante-1265,1265,1321,Dante,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
duns-scotus-1266,1266,1308,Duns Scotus,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
occam-1287,1287,1347,Occam,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
trapezuntius-1396,1396,1484,Trapezuntius,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
cusanus-1401,1401,1464,Cusanus,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
agricola-1443,1443,1485,Agricola,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
erasmus-1467,1467,1536,Erasmus,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
machiavelli-1469,1469,1527,Machiavelli,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
morus-1478,1478,1535,Morus,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
kopernikus-1473,1473,1543,Kopernikus,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
agrippa-1486,1486,1535,Agrippa,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
paracelsus-1493,1493,1541,Paracelsus,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
scaliger-1540,1540,1609,Scaliger,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
brahe-1546,1546,1601,Brahe,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
bacon-1560,1560,1626,Bacon,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
galilei-1564,1564,1642,Galilei,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
hobbes-1588,1588,1679,Hobbes,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
descartes-1596,1596,1659,Descartes,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
pascal-1623,1623,1662,Pascal,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
spinoza-1632,1632,1677,Spinoza,thought,EUROPE,year,,"English Wikipedia, via rengel-de/5603464",
